symbol,address,ens,name,votes_count,delegators_count
COMP,0x6B510621944Ddf0Fe4a6730339a5bC0dC4FDF133,,,32107480367000000000000,1
COMP,0x13BDaE8c5F0fC40231F0E6A4ad70196F59138548,michiganblockchain.eth,Michigan Blockchain,30000002922918751533984,14
COMP,0x83e099D8BC7C50adA596d4c10515A38Bfd8Bbd8E,,,30000000000000000000000,1
COMP,0x4Ac0Dbce527bcb60787CEF10053348B146C6b5e3,,,30000000000000000000000,1
COMP,0x48804E458D7a779c5fd2ce757876daBDC9CE422c,,,29998915661810000000000,1
COMP,0x2f93524B327100Fba3dc685204f94c7A86C28A8B,,,29003483647000000000000,1
COMP,0xBbDdEa44e137F8C989De551Dfc2ce671920E9C09,,,24999820208870000000000,1
COMP,0xd9E8D24799fC9317513C0C0512F19cB60DB6B040,,,24999360422330000000000,1
COMP,0xcAD691b08b04f80291FBA2D45eA924266A3bb169,,,24999000000000000000000,1
COMP,0x36aB63d2C0b38641DE9B82fEE91104121c8D3e47,,,24998894367000000000000,1
COMP,0xc153a898808654584a2276BFE9e8bA62adED4137,,,24998363200000000000000,1
COMP,0xABaC6685Cf45973f834a93cb3c5F993c77736f68,,,24998000000000000000000,1
COMP,0xE89f1A18A17f0497aC2Bd8627d48339D4D99Bb56,,,24996680000000000000000,1
COMP,0x13691CFf1092D704ec20E16036491c8805f6d22C,,,24995469900000000000000,1
COMP,0x26762AF77774Dab2118E32784C9A612a8d15864A,,,24950773116910000000000,1
COMP,0x90Bd4645882E865A1d94ab643017bd5EC2AE73be,,,24930588621760000000000,1
COMP,0x3318552DeC1881Bfd43aDfAC65ADEE81cc6298BB,,,24925035700000000000000,1
COMP,0x55C03907C62cf2884b795f216e7cD1dcb5e560bf,,,24918997863820000000000,1
COMP,0xeff46d5C81846d9168A7F72AE32e02c28211a4C4,,,24910908867000000000000,1
COMP,0x4f3a2BfD91761AC0D82261b82bb5c8aCe4644a51,,,24900000000000000000000,1
COMP,0xCA4EDBa2Cf8D23Bc2ce8d62DdE8832a3fCeE7F02,,,24866243100000000000000,1
COMP,0x0b588Bd4B60Fb38Daa5dc089Ad3486B34f7700f8,,,24669214898800000000000,1
COMP,0x2A56233EBb6AE64bf14B8a4F37a79ED5916B8665,,,24435687367000000000000,1
COMP,0x17d6DD6B29c639efCa9D3EC2FE3848909c1b40d9,,,24412607300000000000000,1
COMP,0xbAa33cBbfaa44FbCD27028AffaE1ad52E0e189aC,,,24274207100000000000000,1
COMP,0xBA2402Ca08426F31f6f9d8bfb6b9742F22157ebd,,,24094246888340000000000,1
COMP,0x4C9861dc2f2C71db30C94bca990392b501BdeF82,,,24007802000000000000000,1
COMP,0x111DEe53590A012B3f5E635F3b4B264671dC9105,,,23963056667000000000000,1
COMP,0x811f6E1b7F3c453E563E424933a99A94df32b799,,,22168120997510000000000,1
COMP,0x53CC17885fb91385f0A4599A1133a7F592F84042,,,20998067973000000000000,1
COMP,0x0A7B24CcA8E5b9379535649493feE3c2b0F61dC5,,,20098527230600000000000,1
COMP,0x1E7267fA2628d66538822Fc44f0EDb62b07272A4,,,19000000000000000000000,1
COMP,0xE3c9eCe23316B6B06142Fa0CA915f02C323C6b21,dakeshi.eth,dakeshi,15000000110000000000000,9
COMP,0xe73EF2fEA22B420B9b53F164656C6E9F7584142c,,,9988894367000000000000,1
COMP,0xD7E7bCA98ab9fB25e17ad73429e89A40B55708BE,mel.eth,mel.eth,7974703971023778349243,2
COMP,0x4c9F7207be28278b9DCA129f2e211AcfFf48Fb01,holonaut.eth,holonaut.eth,5797681943094109407100,1
COMP,0xC3AaE58Ab81663872dd36d73613eb295b167F546,,TennisBowling,5001846829758905020985,13
COMP,0x62E5438c32e69872fE24922A9353DE6387682556,,,5000000000000000000000,1
COMP,0xc64C27791b2355b3080721197b89602aC6c92B7B,,,3335309528625466483616,3
COMP,0xC3ee6B2e8247007921e860b7aFfEC14393d82C27,,,2754510190648485179903,1
COMP,0x4D7463E0f038F0185E281337b7C65d0F9Ed25896,,hugo (scopelift),2685722533492252495079,1
COMP,0xFa4Ebcb83902Bb1106b85Bb3D4916Dfd72E06721,,,1908744736668145827984,1
COMP,0x1f84Ca2C0A406b32e083E4E41032FD148364Df48,,,1818537585080139245473,1
COMP,0x72C58877ef744b86F6ef416a3bE26Ec19d587708,,Sharp,1178700000000000000000,2
COMP,0xA5dcEc366b04a127d0F4eFeE183346F25434d648,,,542400000000000000000,2
COMP,0xCE8Ab0464957EAB5635344A62FAb9Bf5a3FF8cA3,,DonOfDAOs,500007409267323418812,1
COMP,0x1F3D3A7A9c548bE39539b39D7400302753E20591,gov.blockful.eth,gov.blockful.eth,440714309773772431836,1
COMP,0xB7A35196efa16C9e32D9F18aF6A01bD3C95Be2fE,b0x.eth,b0x.eth,352808611958063747307,1
COMP,0xea6C3Db2e7FCA00Ea9d7211a03e83f568Fc13BF7,,Polychain Capital,291372163588150189956,198
COMP,0xf2eb9cD233744f22039EB32CBe391513f009a52a,,,278000000000000000000,1
COMP,0x1B72Bac3772050FDCaF468CcE7e20deb3cB02d89,,,252377602751349522720,1
COMP,0x26607aC599266b21d13c7aCF7942c7701a8b699c,,,240847460511004461189,1
COMP,0xBE1d294FD9B71Ae2F6831Eb80777fF73fb73c953,mikelewellen.eth,Michael Lewellen,231026000000000000000,1
COMP,0xAC5720d6EE2d7872b88914C9c5Fa9BF38e72FaF6,,Robert Leshner,218861127000164411368,78
COMP,0xd5447A7aa223268398CF7c38c2c580622CC98772,,Polychain Capital,185160349352941339234,13
COMP,0x9af999595a08210FcaA705f0491A800551f73388,,,173714949029768565642,1
COMP,0xA509ce524095e54233074b485825ebB9641D00e2,,,124129486000000000000,1
COMP,0xB3b5F62472afEf5363E21a71d5bD17DA6E9761F6,,,114266676170361768432,1
COMP,0xe2a661ef35665A9617002d120B7AA3B0b60a325D,,OpenZeppelin Gov,100000000000000000000,1
