token,chain,address,balance,share,post_exclusion_rank,tier1_label,tier2_label,tier3_label,final_classification,classification_source,confidence,vesting_status,notes
GTC,ethereum,0x74be0cf1c9972c00ed4ef290e0e5bcfd18873f13,9943904.682004564,0.1397391205881508,2,,,,,,,,
GTC,ethereum,0x4da8853217d0d5b59e8fcde36d1bebb0a1932a14,8242309.664360119,0.1158270459085612,3,,,,,,,,
GTC,ethereum,0x14d7cee42d4643f0c767a1d504d9ca24c890f86c,6261851.41525919,0.087996178362964,4,,,,,,,,
GTC,ethereum,0x6eede31a2a15340342b4bcb3039447d457ac7c4b,2430000.0,0.034148161500755,5,,Gitcoin O80,,contract,tier2_blockscout,high,,impl: Escrow
GTC,ethereum,0x74d3d473a44bc6b2b806861be511d52e2ce530af,1692137.9300000002,0.023779176672919,6,,,,insider,tier2_blockscout,medium,,impl: Safe
GTC,ethereum,0xed95d629c4db80060c59432e81254d256aec97e2,1618326.000000001,0.0227419167114695,7,,SafeProxy,,insider,tier2_blockscout,high,,impl: Safe
GTC,ethereum,0x3896ab65f7191a446f5ba550a92f9fbe5dd658af,1105370.5046298583,0.0155334858066961,8,,GnosisSafeProxy,,insider,tier2_blockscout,high,,impl: GnosisSafe
GTC,ethereum,0x6a5843919f17cc9003424008cfa953c989046904,1000001.0,0.0140527554110767,9,,,,insider,tier2_blockscout,medium,,impl: Safe
GTC,ethereum,0x2aa5d15eb36e5960d056e8fea6e7bb3e2a06a351,968796.89746,0.0136142522287631,10,,Hedgeys,,contract,tier2_blockscout,high,,
HNT,solana,agutdjmw5skhept9qsksj29seqivksjchsap6kma9i98,7204778.80957614,0.244822,1,,,,,,,,
HNT,solana,5lzkatrlwhycqj2yuvbjjgsdzzbk6yfl4pfqrjmtbot2,3659338.89315294,0.124346,2,,,,,,,,
HNT,solana,4uit93tycivchetditvh15wqwxyrhcopwzqikdqyf7uo,2577327.77491199,0.087579,3,,,,,,,,
