rank,voter,voting_power,dominance_full_pool,in_top_n
222,0x3f993093c3917Fe7A117f37cFD008775249f59c8,5.8927006484,0.0000016575,0
223,0x79b1A32EC97537486E75d99850BD56ECfA09D643,5.8844978536,0.0000016552,0
224,0x3B2cba3423199f73924AD609fa8EeC504E1FaC1f,5.8694536793,0.0000016510,0
225,0x03ebbFCc5401beef5B4A06c3BfDd26a75cB09A84,5.8397305473,0.0000016426,0
226,0x63eadc67d9E4DE1AC043A0F1000b9eA865C80f41,5.5140742846,0.0000015510,0
227,0xA0DeC9581554Ce2669bc7f7223Fb57E8863D397d,5.4434156135,0.0000015312,0
228,0xbb84C65CF48B04D462568a47375527e7c4a74924,5.3655039366,0.0000015092,0
229,0xc6b59D5E6c38DE657F31D6254359f8739dA2c07e,5.0000000000,0.0000014064,0
230,0x3Ba2BF4709Ed06AC7C3d35Caf2f230434aABBdD3,4.5783051769,0.0000012878,0
231,0x5Afe25eD04F6BB13460D604F5a0EdE6281817b04,4.4200000000,0.0000012433,0
232,0x8582Cb7673822E50C2ad832c74237bd0B069562f,4.4160994809,0.0000012422,0
233,0xEbAC3F58155320D20Fc05c8e9134803E38218D58,4.1554016350,0.0000011689,0
234,0xd3948439C7709F44d005B71e4b07b941c87bDEA1,4.0976701411,0.0000011526,0
235,0x1D5460F896521aD685Ea4c3F2c679Ec0b6806359,4.0000000013,0.0000011251,0
236,0xe7F91240514901cb09540ffC8713083a1668282D,4.0000000000,0.0000011251,0
237,0x4282341588F94c158bFAA40AE2C9F3ABfdAc647f,3.7400000000,0.0000010520,0
238,0x76a90d3b5050e5A139987F74c72E63c17f5B36e6,3.6890363444,0.0000010377,0
239,0xf74aAd1263E555713a77dAdD4e9688135455599d,3.6773714302,0.0000010344,0
240,0xEB2AEC308e7B3340Dea2E89d40187D2637C6c649,3.5499120545,0.0000009985,0
241,0x019Ed608dD806b80193942F2A960e7AC8aBb2EE3,3.4190058685,0.0000009617,0
242,0x8A02A65AfB85ce6873442acd77d18e4333a5bA23,3.3971066113,0.0000009556,0
243,0x0be0Ac6805f4483fefe5951163c301E48Bd3dA8A,3.3378265482,0.0000009389,0
244,0x274318e4Bb87fC4aB9501B2e08Efb9864B61fc19,3.3315941332,0.0000009371,0
245,0xbE96cBFF504BA1C9aBa35a0F6377e8F109f7795B,3.2603138817,0.0000009171,0
246,0xD565C9B198a5968CE42E05123635B92425A74097,3.1403043098,0.0000008833,0
247,0x015122A625b45f68E6D795C0Ab99fC7107e4c3B9,3.1193782122,0.0000008774,0
248,0x772a9F9875e3495004E52333c4fc3D2839199CB7,3.0310953476,0.0000008526,0
249,0xd714Dd60e22BbB1cbAFD0e40dE5Cfa7bBDD3F3C8,3.0000000000,0.0000008439,0
250,0x187089B33E5812310Ed32A57F53B3fAD0383a19D,3.0000000000,0.0000008439,0
251,0x577E6bcfE36Aff7543d8a37D623Ed2f075EE5B35,3.0000000000,0.0000008439,0
252,0xe844F9E13f02aC410A5e758504e981428e2091b5,2.9001262019,0.0000008158,0
253,0x3FB19771947072629C8EEE7995a2eF23B72d4C8A,2.9000000000,0.0000008157,0
254,0x3eD08A777a1B087F8bc73Ca94B14Ba64aB8368E2,2.8537755639,0.0000008027,0
255,0x0579A616689f7ed748dC07692A3F150D44b0CA09,2.6597649142,0.0000007482,0
256,0x0E2c89309Caf9Df924ECBc92BB02c8639e560225,2.5773724372,0.0000007250,0
257,0xF7782309FfE7F8C45255BBc8DA654BAd540a019E,2.5515516617,0.0000007177,0
258,0x508A4F07B60BA0940283Cd4e32d5DEb0CC38AdF7,2.5250066839,0.0000007102,0
259,0xc37b40ABdB939635068d3c5f13E7faF686F03B65,2.3292935944,0.0000006552,0
