rank,address,balance,reserved,lock,display
843,15WkN9dmJLGnaQ1NJEsyapGqGNQwAVmU1iRoVaJqWoEdaag8,145437.2708013231,0.0,0.0,
844,12R8v4tfsF2JUaEyZ34s5X8dsMVMCpP2EQQ2h3up5HsNKCMX,145198.031,145010.0,145010.0,
845,12wTwhhyRxDif6Pqr6Dq99BrLUkB1HW5qtv6os4gmAw2BJ8c,144721.4936722677,51.5023475142,51.5023475142,
846,18iHRHnjLUtq9vR6DnayVb5qMsBFiyKLi7wj5V7GddY9ddC,144608.7642740897,143885.6820673881,143885.6820673881,
847,154hVSytwScAhPEJScobaYVCTao2cf9XHYU8oR55ef1s7bWN,142000.8207669313,0.0,0.0,
848,15LLh6B396BMYHgfxCBdmrrtdbZ6uoaYoSq8FEHYhxLiTaw1,141936.1412905667,50250.9653905557,50250.9653905557,
849,14qevXUbiVyvU2jZSWNEjkpxUhe5ccnhVuorr5SQ9R2eFZMP,141573.0630796099,141572.9530796099,141572.9530796099,
850,16eTTMuaGeewLkZTK7VXKBLdgGQ8EChpyDXXSZ8HqvhkoNT2,141491.9242938596,136067.4969910485,136067.4969910485,
851,12gneUo33SvJu2dSRxJgpgfdbygekDJ8ghqkTXv9tzPA47ao,141215.8779454235,139758.1249247387,139738.0839247387,
852,1473AMu1tR9ZtCbG9vSjoJJigswT7iEeXZScQhFxY7HvcGnN,140837.5011969179,0.0,0.0,
853,1ayFow4q8q3sRXCdsSw6DS8DWpAiYh1sqg87k7ttDT8DnX7,140488.6882510797,0.0,0.0,
854,13zTnF2AQW4xddvFKvpJV9SbUAgnn9X5Ewe7HjThQTy8DMJy,140111.8514178271,140101.1171515839,140101.1171515839,
855,12tE6gMDjH8tmfgy3Kon5X5pfqTvoGyz3xsWNxUX9WMjyFVT,140086.5399259915,140086.4295928581,140086.4295928581,
856,13Bcbxnw6SW7BHVs6qjSMDVGfH51ochSUVaBakwjaSWhCz3B,139999.9466766799,0.0,0.0,
857,16d8iVM6C2QFY1dP9Vibxzx8jkKXdhEaXSg6oX3ksSz7psph,139527.338638821,136242.5678743078,136222.5268743078,
858,131seg5RcUknk7w1KNuzP6oAZHwQ7BJaEJssvXsas341YKE4,139321.497609362,120020.041,120000.0,
859,16M8NVHLMte1vhBYxCaeb9Rqnc6nZzgUcXcHqLxsRCWenBVL,138857.7738535143,138856.668715398,138856.668715398,
860,16Drv56ePhNcKaTy1DzRcVCobBTzthsRmq7qiCrq5UgfnZLt,138468.3053319087,138002.9167879534,138002.9167879534,
861,126VQwtfrZxgh9tAmrc9X6KdRZBajVMSqffoTkHBX73k6h3M,138079.9828921613,100000.0,100000.0,
862,13TGt3WjefBNoDMVUTfQN78j9hLszxrmboc2uWDsZR17uBvo,137577.8386582412,136940.0,136940.0,
863,16NVUCmo8ykCiDpepmqQSNBzTq4VMoTYPXmJ2Tdafxzt78rh,137556.3900000001,0.0,0.0,
864,14jASim1sRxtswFX1BP1dpKUxPP5vBRo2mcsiTSjFS8G9BDT,136812.0718310711,136811.0000145624,136811.0000145624,
865,14trzUW5Tuw4NU3KW4EccYiq4gimpRwXG8FMhCQqSmbW5And,136463.6250486856,67010.4810100667,67010.4810100667,
866,16aRaP5BerdF3pounYG8jGTX9NzcLYPbJmiWuM6YM2VuAj6E,136444.1515346099,0.0,0.0,
867,1391ygubtrRmWBKxyRDXUT5JDdnN5WNu9boig3dpof2rAW6h,136295.9700070604,130000.0,130000.0,
868,14CxFz7zguaY9qyMhVthMcUKix5ew7HeHoVGKwTFJ4dYtNvM,136103.5673842038,135861.0,135861.0,
869,1pveAZNCEYXwqYyhDARrBHH7gnzBdJyUtdKnSFKH1Ck9999,136002.3089190654,136000.0,136000.0,
870,15vrRgurRAyj92CVcZryBep7Dv5DwytAeKxdEskJAMUUbauN,135166.8444276306,135128.641118909,135128.641118909,
871,15q15ijQHDbnjJMBjwk8FdzbjpEf72g2SLKr8MriMokx9AHJ,134973.8038547683,134968.2831746583,134968.2831746583,
872,15je23fruuXx6wfCSyRvBxFAhxYTMfZnffbL33kRxB6Rhbhg,134825.0885533911,133690.0,133690.0,
873,16TibNcnn8CasVckvxHP8DpkkDmzyt5e9pqo7ERsCvU5BiwV,134754.6118790256,0.0,0.0,
874,1nS6XM5C5MBeQtX1LJtDJT2BGogNMjRdgf74YPiBHLc5SrQ,134684.6599467374,70000.0,70000.0,
875,15L1NbWtWhW6zRZQqr3qQDQTRP7hvqvZ3BE1VG8w5VggyJa8,134677.7119312408,134676.7252312408,134656.6842312408,
876,15MYNFt79UxqcSQ8za5FxoXqoXKS1FjgS5ZPpbDdkJaPuQiP,134641.40374,0.0,0.0,
877,16W8uWAic7JUpaktQL2M1ikZStxQoU54FiTWp9RN8RA8RdsT,134566.2596328381,134560.041,134540.0,
