token,month,incentive_emission_tokens,insider_unlock_tokens,burned_tokens
FIL,2027-09,0,0.0,0.0
FIL,2027-10,0,0.0,0.0
FIL,2027-11,0,0.0,0.0
FIL,2027-12,0,0.0,0.0
FIL,2028-01,0,0.0,0.0
FIL,2028-02,0,0.0,0.0
FIL,2028-03,0,0.0,0.0
FIL,2028-04,0,0.0,0.0
FIL,2028-05,0,0.0,0.0
FIL,2028-06,0,0.0,0.0
FIL,2028-07,0,0.0,0.0
FIL,2028-08,0,0.0,0.0
FIL,2028-09,0,0.0,0.0
FIL,2028-10,0,0.0,0.0
FIL,2028-11,0,0.0,0.0
FIL,2028-12,0,0.0,0.0
FIL,2029-01,0,0.0,0.0
FIL,2029-02,0,0.0,0.0
FIL,2029-03,0,0.0,0.0
FIL,2029-04,0,0.0,0.0
FIL,2029-05,0,0.0,0.0
FIL,2029-06,0,0.0,0.0
FIL,2029-07,0,0.0,0.0
FIL,2029-08,0,0.0,0.0
FIL,2029-09,0,0.0,0.0
FIL,2029-10,0,0.0,0.0
FIL,2029-11,0,0.0,0.0
FIL,2029-12,0,0.0,0.0
FIL,2030-01,0,0.0,0.0
FIL,2030-02,0,0.0,0.0
FIL,2030-03,0,0.0,0.0
FIL,2030-04,0,0.0,0.0
FIL,2030-05,0,0.0,0.0
FIL,2030-06,0,0.0,0.0
FIL,2030-07,0,0.0,0.0
FIL,2030-08,0,0.0,0.0
FIL,2030-09,0,0.0,0.0
FIL,2030-10,0,0.0,0.0
FIL,2030-11,0,0.0,0.0
FIL,2030-12,0,0.0,0.0
FIL,2031-01,0,0.0,0.0
FIL,2031-02,0,0.0,0.0
FIL,2031-03,0,0.0,0.0
FIL,2031-04,0,0.0,0.0
FIL,2031-05,0,0.0,0.0
FIL,2031-06,0,0.0,0.0
FIL,2031-07,0,0.0,0.0
FIL,2031-08,0,0.0,0.0
FIL,2031-09,0,0.0,0.0
FIL,2031-10,0,0.0,0.0
FIL,2031-11,0,0.0,0.0
FIL,2031-12,0,0.0,0.0
FIL,2032-01,0,0.0,0.0
FIL,2032-02,0,0.0,0.0
FIL,2032-03,0,0.0,0.0
FIL,2032-04,0,0.0,0.0
FIL,2032-05,0,0.0,0.0
FIL,2032-06,0,0.0,0.0
FIL,2032-07,0,0.0,0.0
FIL,2032-08,0,0.0,0.0
FIL,2032-09,0,0.0,0.0
FIL,2032-10,0,0.0,0.0
FIL,2032-11,0,0.0,0.0
FIL,2032-12,0,0.0,0.0
FIL,2033-01,0,0.0,0.0
FIL,2033-02,0,0.0,0.0
FIL,2033-03,0,0.0,0.0
FIL,2033-04,0,0.0,0.0
FIL,2033-05,0,0.0,0.0
FIL,2033-06,0,0.0,0.0
FIL,2033-07,0,0.0,0.0
FIL,2033-08,0,0.0,0.0
